name,country,latitude,longitude,capacity_mw
Broquiès,FRA,44.0179,2.7069,1.7
Brusque,FRA,43.7645,2.9482,15.6
Bussière-Saint-Georges,FRA,46.4018,2.1546,17.0
Cabrespine,FRA,43.3763,2.4714,10.4
Caix,FRA,49.8105,2.6453,12.0
Calenzana,FRA,42.4783,8.8041,6.0
Callengeville,FRA,49.8242,1.5219,24.5
Cambernon,FRA,49.0869,-1.3806,9.2
Cambon-et-Salvergues,FRA,43.6536,2.8782,29.9
Campbon,FRA,47.416,-1.967,12.0
Campigny,FRA,49.3183,0.5617,10.0
Camplong,FRA,43.6889,3.1118,2.7
Campénéac,FRA,47.9624,-2.2778,12.0
Candas,FRA,50.0992,2.2811,10.0
Canet,FRA,43.2264,2.8311,11.5
Cast,FRA,48.1489,-4.1185,10.0
Castanet-le-Haut,FRA,43.6735,2.9543,13.8
Castelnau-Pégayrols,FRA,44.1659,2.9008,30.81
Caudebronde,FRA,43.388,2.3031,4.0
Caulières,FRA,49.7864,1.8994,17.5
Caurel,FRA,48.2173,-3.0396,4.25
Celles-sur-Belle,FRA,46.2404,-0.218,9.4
Cerisières,FRA,48.3086,5.0777,8.0
Cernon,FRA,48.8462,4.3626,28.9
Chambonchard,FRA,46.161,2.5411,12.0
Champdeniers-Saint-Denis,FRA,46.4799,-0.3827,9.0
Champfleury,FRA,48.6299,4.0391,36.0
Champlin,FRA,49.832,4.2979,27.5
Champéon,FRA,48.3561,-0.5127,4.6
Chantrigné,FRA,48.4126,-0.5606,9.2
Chapelle-Vallon,FRA,48.4344,4.0424,24.0
Charly-sur-Marne,FRA,48.9872,3.2921,22.0
Charmont-en-Beauce,FRA,48.2232,2.1458,30.0
Charmont-sous-Barbuise,FRA,48.4155,4.1812,24.0
Chastel-Nouvel,FRA,44.5707,3.4925,12.0
Chaudeyrac,FRA,44.6418,3.7513,1.7
Chauvé,FRA,47.1586,-2.0118,12.0
Chelers,FRA,50.3818,2.4878,18.0
Chermisey,FRA,48.4149,5.5678,8.0
Chervey,FRA,48.1346,4.4899,12.5
Chicheboville,FRA,49.1052,-0.2198,12.0
Château-Porcien,FRA,49.5342,4.2472,10.0
Châteaulin,FRA,48.2033,-4.0733,10.0
Châtres,FRA,48.4929,3.8369,7.5
Chépy,FRA,50.0636,1.6426,4.4
Chéry,FRA,47.1159,2.0261,13.9
Civray,FRA,46.9733,2.1855,20.0
Clamanges,FRA,48.8298,4.0833,10.02
Clamecy,FRA,47.4613,3.511,12.336
Clitourps,FRA,49.6513,-1.3719,3.3
Cocquerel,FRA,50.0554,1.9604,12.0
Collorec,FRA,48.2915,-3.7716,8.4
Conilhac-Corbières,FRA,43.1849,2.7164,16.7
Conilhac-de-la-Montagne,FRA,42.9788,2.2053,17.0
Conteville,FRA,49.0892,-0.2442,4.0
Contreuve,FRA,49.3619,4.6155,12.0
Coole,FRA,48.7395,4.3915,12.0
Coquelles,FRA,50.9291,1.8143,2.4
Coren,FRA,45.0873,3.1086,15.0
Cormainville,FRA,48.1207,1.616,60.0
Cormont,FRA,50.5646,1.7442,9.2
Corpe,FRA,46.5054,-1.1702,11.05
Corroy,FRA,48.7025,3.9576,17.0
Couffé,FRA,47.3885,-1.2926,10.19
Coulonges-Thouarsais,FRA,46.9234,-0.3329,12.3
Coulours,FRA,48.162,3.5941,10.0
Coume,FRA,49.197,6.583,10.0
Coupelle-Vieille,FRA,50.5328,2.0772,20.0
Coupéville,FRA,48.9043,4.6234,9.3
Courcelles-sur-Aire,FRA,48.9405,5.2336,20.0
Courdemanges,FRA,48.6796,4.5086,6.9
Courgis,FRA,47.777,3.7441,12.0
Coyecques,FRA,50.601,2.1851,8.2
Crennes-sur-Fraubée,FRA,48.3824,-0.2658,10.0
Creutzwald,FRA,49.2092,6.6815,10.0
Criel-sur-Mer,FRA,50.0191,1.3238,14.82
Criquiers,FRA,49.6761,1.7018,6.6
Croixrault,FRA,49.794,1.9867,2.3
Cros-de-Géorand,FRA,44.7994,4.1276,10.26
Cruas,FRA,44.6565,4.7562,6.0
Cruguel,FRA,47.8779,-2.5908,12.0
Cruscades,FRA,43.2,2.8164,11.5
Crèvecoeur-le-Grand,FRA,49.6128,2.0851,12.0
Crédin,FRA,48.039,-2.7652,20.4
Créquy,FRA,50.5028,2.0376,20.25
Cuq,FRA,43.6531,2.0865,12.0
Cuxac-Cabardès,FRA,43.3905,2.279,12.0
Damery,FRA,49.7306,2.7362,11.4
Dargies,FRA,49.6988,1.9814,12.0
Dehlingen,FRA,48.9856,7.1811,12.0
Delouze-Rosières,FRA,48.5658,5.5315,24.0
Derval,FRA,47.6577,-1.6776,17.0
Destry,FRA,48.9456,6.5856,12.0
Dinéault,FRA,48.2166,-4.1674,1.2
Dio-et-Valquières,FRA,43.6688,3.2212,11.97
Dirinon,FRA,48.4011,-4.2693,1.7
Dohem,FRA,50.6277,2.1694,8.0
Domart-en-Ponthieu,FRA,50.0758,2.1237,10.0
Doncourt-lès-Longuyon,FRA,49.4429,5.7144,6.0
Doudelainville,FRA,50.0011,1.7638,10.0
Droupt-Saint-Basle,FRA,48.4802,3.9571,12.3
Droupt-Sainte-Marie,FRA,48.5017,3.9386,12.3
Eaucourt-sur-Somme,FRA,50.0684,1.8882,10.0
Erbray,FRA,47.6693,-1.3217,11.5
Ervillers,FRA,50.1646,2.8258,6.0
Escamps,FRA,47.7173,3.4734,4.1
Esclavolles-Lurey,FRA,48.5549,3.6499,14.0
Esnouveaux,FRA,48.1324,5.3485,10.0
Esquennoy,FRA,49.6549,2.2698,12.0
Euvy,FRA,48.7251,3.9935,27.5
Falleron,FRA,46.8626,-1.7007,11.5
Familly,FRA,48.9607,0.3469,10.2
Fauquembergues,FRA,50.5824,2.1113,31.35
Ferrière-et-Lafolie,FRA,48.399,5.0753,12.0
Fiefs,FRA,50.4997,2.321,12.8
Fiennes,FRA,50.8239,1.83,11.5
Fienvillers,FRA,50.1183,2.2351,8.35
Fierville-Bray,FRA,49.0649,-0.179,20.0
Fillières,FRA,49.4117,5.8423,10.0
Fitou,FRA,42.8959,2.9662,22.1
Flammerécourt,FRA,48.3597,5.0437,10.0
Flavin,FRA,44.2881,2.6217,10.0
Fontaine-Mâcon,FRA,48.4581,3.5073,12.3
Fortel-en-Artois,FRA,50.2575,2.2296,11.4
Fos-sur-Mer,FRA,43.4557,4.9042,14.0
Foulcrey,FRA,48.6398,6.8677,13.2
Fraisse-sur-Agout,FRA,43.5926,2.7972,23.0
Framerville-Rainecourt,FRA,49.8633,2.7201,12.0
Francastel,FRA,49.5899,2.1485,12.0
Francheville,FRA,48.8791,4.5395,14.7
Freigné,FRA,47.5364,-1.1061,9.2
Fresnes-Tilloloy,FRA,49.9828,1.7605,10.0
Fresnes-en-Saulnois,FRA,48.839,6.4393,11.9
Fresnoy-le-Grand,FRA,49.9537,3.4196,13.8
Fressenneville,FRA,50.0609,1.5667,23.92
Freycenet-la-Tour,FRA,44.9355,4.0707,12.0
Freyssenet,FRA,44.689,4.5468,10.6
Froidfond,FRA,46.8796,-1.7552,6.0
Fruges,FRA,50.5099,2.0677,43.1
Frénouville,FRA,49.1325,-0.2483,12.0
Frévent,FRA,50.2695,2.2933,8.0
Fécamp,FRA,49.7526,0.3961,4.7
Gamaches,FRA,49.9949,1.5568,11.5
Garcelles-Secqueville,FRA,49.0965,-0.2799,12.0
Gavray,FRA,48.9024,-1.3303,2.0
Ger,FRA,48.6717,-0.8037,8.2
Germinon,FRA,48.8867,4.1786,75.0
Gogney,FRA,48.6146,6.8693,8.8
Gommerville,FRA,48.3788,1.8827,27.85
Gonfreville,FRA,49.2312,-1.4031,16.31
Gouchaupre,FRA,49.9225,1.2952,11.0
Gourgançon,FRA,48.6674,4.0369,48.0
Gournay-Loizé,FRA,46.1497,-0.0487,12.0
Grand-Fougeray,FRA,47.7339,-1.7279,12.4
Gratot,FRA,49.0686,-1.4952,2.0
Greneville-en-Beauce,FRA,48.1892,2.1103,25.0
Gruny,FRA,49.7262,2.8171,9.2
Gréning,FRA,48.9741,6.8413,6.9
Gueltas,FRA,48.0915,-2.811,9.3
Guern,FRA,48.0346,-3.1022,8.0
Guerville,FRA,49.9524,1.5259,11.5
Gueschart,FRA,50.2388,1.9886,38.0
Gueures,FRA,49.8425,0.9558,7.5
Guigneville,FRA,48.2157,2.173,18.0
Guilberville,FRA,48.987,-0.9493,8.0
Guindrecourt-sur-Blaise,FRA,48.2978,4.98,8.0
Guégon,FRA,47.9251,-2.5859,10.0
Guéhenno,FRA,47.892,-2.6511,3.6
Hambers,FRA,48.254,-0.4261,8.2
Hangest-en-Santerre,FRA,49.7517,2.602,12.0
Harcanville,FRA,49.708,0.7684,9.2
Hargicourt,FRA,49.7132,2.5195,16.2
Haucourt-Moulaine,FRA,49.4964,5.8074,2.2
Hautevesnes,FRA,49.109,3.2351,12.3
Hauteville,FRA,49.8888,3.5236,25.0
Hendecourt-lès-Cagnicourt,FRA,50.2148,2.949,12.0
Herlincourt,FRA,50.3444,2.2917,13.8
Herly,FRA,50.5411,1.9906,12.0
Hermin,FRA,50.4141,2.5529,11.5
Hescamps,FRA,49.7289,1.8781,6.0
Hombleux,FRA,49.7434,2.9916,18.0
Houdelaincourt,FRA,48.5517,5.4565,12.0
Huclier,FRA,50.4363,2.3547,13.8
Huiron,FRA,48.6925,4.495,6.9
Héninel,FRA,50.2333,2.8708,6.0
Hétomesnil,FRA,49.6316,2.0404,12.0
Hézecques,FRA,50.5342,2.1911,18.2
Iffendic,FRA,48.1139,-2.0243,2.2
Igney,FRA,48.6327,6.8196,13.2
Illois,FRA,49.7452,1.6461,9.0
Iron,FRA,49.9509,3.6645,24.0
Is-en-Bassigny,FRA,48.0345,5.447,12.0
Ivergny,FRA,50.2377,2.3794,12.0
Janville,FRA,48.2008,1.8895,20.1
Jouy-en-Pithiverais,FRA,48.1498,2.1307,12.0
Juillé,FRA,48.2444,0.126,10.8
Kergrist,FRA,48.1474,-2.9286,19.7
Kergrist-Moëlou,FRA,48.2773,-3.333,27.3
L'Île-d'Olonne,FRA,46.5696,-1.7737,5.34
La Benâte,FRA,46.0075,-0.5576,12.0
La Chapelle-Gaudin,FRA,46.9248,-0.3859,12.3
La Chapelle-Laurent,FRA,45.1831,3.243,6.0
La Chapelle-Rousselin,FRA,47.1949,-0.8025,7.5
La Chaussée-sur-Marne,FRA,48.8434,4.5435,22.25
La Désirade,FRA,16.3115,-61.053,1.65
La Fage-Montivernoux,FRA,44.7471,3.1517,11.69
La Faye,FRA,46.0194,0.1593,12.0
La Gacilly,FRA,47.7729,-2.1562,12.0
La Garnache,FRA,46.8974,-1.8251,12.0
La Haie-Traversaine,FRA,48.3589,-0.6132,12.0
La Limouzinière,FRA,46.9877,-1.6412,12.15
La Marne,FRA,46.9916,-1.7184,10.25
La Motte-de-Galaure,FRA,45.1992,4.9007,4.0
La Neuville-Bosmont,FRA,49.7149,3.8333,12.0
La Palme,FRA,42.9653,2.9948,9.2
La Prénessaye,FRA,48.1859,-2.6476,10.0
La Répara-Auriples,FRA,44.6612,4.9943,4.8
La Souterraine,FRA,46.2369,1.4759,8.0
La Tourlandry,FRA,47.143,-0.699,10.0
La Tâche,FRA,45.87,0.3638,16.304
Lacombe,FRA,43.4059,2.2404,8.0
Lafresguimont-Saint-Martin,FRA,49.8228,1.8101,12.0
Lamballe,FRA,48.4687,-2.4951,9.2
Lamontélarié,FRA,43.6205,2.6084,12.0
Landroff,FRA,48.9648,6.6172,16.0
Laneuville-au-Rupt,FRA,48.7072,5.5762,11.5
Lanfains,FRA,48.3658,-2.9117,7.5
Langoëlan,FRA,48.1209,-3.2335,2.0
Lannoy-Cuillère,FRA,49.7089,1.7361,12.0
Lanouée,FRA,47.987,-2.5759,8.0
Lanques-sur-Rognon,FRA,48.0879,5.3698,10.0
Lanrivain,FRA,48.3593,-3.2156,8.5
Lanrivoaré,FRA,48.4659,-4.6345,5.3
Laprugne,FRA,45.994,3.7623,16.08
Lassay-les-Châteaux,FRA,48.4421,-0.4994,6.9
Laucourt,FRA,49.6722,2.7617,10.0
Lauwin-Planque,FRA,50.3928,3.0296,12.0
Lauzach,FRA,47.6109,-2.5561,10.0
Lavallée,FRA,48.8081,5.3329,4.0
Le Bernard,FRA,46.448,-1.4401,12.65
Le Ham,FRA,48.3734,-0.3542,6.0
Le Haut-Corlay,FRA,48.3407,-3.0326,9.0
Le Landreau,FRA,47.2075,-1.2988,9.2
Le Langon,FRA,46.439,-0.947,6.23
Le Margnès,FRA,43.6525,2.5998,15.1
Le Meix-Tiercelin,FRA,48.6397,4.4414,10.0
Le Mesnil-Opac,FRA,49.0184,-1.1147,2.3
Le Portel,FRA,50.7115,1.5754,3.0
Le Pouzin,FRA,44.7519,4.7485,4.6
Le Rochereau,FRA,46.6946,0.1409,6.68
Le Souich,FRA,50.2225,2.3615,12.0
Le Thour,FRA,49.5455,4.0908,24.0
Le Transloy,FRA,50.0506,2.8924,15.0
Le Val-d'Esnoms,FRA,47.7029,5.1976,28.0
Le Vauclin,FRA,14.5435,-60.8568,1.1
Leffincourt,FRA,49.3812,4.5504,20.0
Lehaucourt,FRA,49.9116,3.2777,20.0
Les Clérimois,FRA,48.2292,3.4571,8.0
Les Essarts-le-Vicomte,FRA,48.6649,3.5534,12.3
Les Fougerêts,FRA,47.748,-2.1975,12.0
Les Grandes-Chapelles,FRA,48.4837,4.0087,36.3
Les Nouillers,FRA,45.9352,-0.6572,10.0
Les Sièges,FRA,48.172,3.5343,8.0
Lesterps,FRA,46.012,0.7922,8.0
Lestrade-et-Thouels,FRA,44.0542,2.6484,12.0
Levoncourt,FRA,48.8276,5.3459,4.0
Lhuître,FRA,48.5808,4.2739,24.0
Ligny-Saint-Flochel,FRA,50.3595,2.4234,11.5
Ligny-sur-Canche,FRA,50.284,2.2609,8.0
Lihons,FRA,49.8284,2.7555,12.0
Lihus,FRA,49.6045,2.0387,24.0
Linghem,FRA,50.5891,2.3727,9.2
Liniez,FRA,47.014,1.757,15.0
Lislet,FRA,49.6766,4.0216,10.85
Litz,FRA,49.4268,2.3232,4.0
Lizeray,FRA,46.9849,1.9034,8.0
Lohuec,FRA,48.4624,-3.5264,9.35
Longeville-sur-Mer,FRA,46.4091,-1.4772,12.35
Longueville-sur-Aube,FRA,48.5513,3.9133,24.8
Loon-Plage,FRA,51.0011,2.2229,12.0
Louville-la-Chenard,FRA,48.3358,1.7911,36.0
Luc-sur-Orbieu,FRA,43.1746,2.8097,27.5
Lusignan,FRA,46.4368,0.1138,6.33
Lévigny,FRA,48.2979,4.7074,10.0
Maché,FRA,46.7712,-1.6959,8.0
Magoar,FRA,48.4015,-3.1771,5.6
Mahalon,FRA,48.0271,-4.4191,6.0
Maisnières,FRA,50.015,1.6091,24.0
Maisons-en-Champagne,FRA,48.7366,4.4673,16.0
Maizières,FRA,50.3216,2.4421,12.0
Manneville-ès-Plains,FRA,49.8582,0.751,13.8
Marcellois,FRA,47.3486,4.6167,10.8
Mareuil-sur-Arnon,FRA,46.8788,2.1633,24.0
Margueray,FRA,48.8997,-1.1266,10.0
Marsangis,FRA,48.6116,3.8527,10.0
Marsanne,FRA,44.6395,4.8833,16.0
Marson-sur-Barboure,FRA,48.6353,5.4438,12.3
Massingy-lès-Vitteaux,FRA,47.3958,4.5908,10.8
Mauléon,FRA,46.947,-0.7473,8.0
Maure-de-Bretagne,FRA,47.8971,-1.9981,8.4
Mauron,FRA,48.0827,-2.3048,10.0
Maxent,FRA,47.9783,-2.0162,6.0
Mazeray,FRA,45.9164,-0.5604,12.0
Mazoires,FRA,45.3949,3.0477,4.8
Maël-Pestivien,FRA,48.4038,-3.2901,6.0
Menaucourt,FRA,48.656,5.3623,12.0
Mercoeur,FRA,45.1876,3.3036,7.5
Mergey,FRA,48.3958,4.0326,12.0
Merry-Sec,FRA,47.6588,3.4857,10.0
Migé,FRA,47.676,3.5329,10.25
Mohon,FRA,48.0634,-2.4945,12.0
Moisy,FRA,47.9183,1.3185,23.65
Molain,FRA,50.0331,3.5327,9.0
Molinons,FRA,48.2212,3.5436,10.0
Momerstroff,FRA,49.1552,6.5331,11.5
Monchel-sur-Canche,FRA,50.3032,2.2191,8.35
Monchy-Breton,FRA,50.3983,2.4354,9.2
Montbazin,FRA,43.5327,3.6717,6.0
Montbray,FRA,48.8826,-1.109,10.0
Montcornet,FRA,49.6887,4.0296,10.85
Montdidier,FRA,49.6478,2.5687,8.0
Montjoyer,FRA,44.4825,4.8779,9.75
Montloué,FRA,49.6675,4.0627,12.6
Morvillers-Saint-Saturnin,FRA,49.7785,1.8154,12.0
Moréac,FRA,47.9329,-2.804,16.0
Mouriez,FRA,50.3471,1.9549,12.0
Moustéru,FRA,48.5289,-3.2349,16.2
Mouzeuil-Saint-Martin,FRA,46.4593,-0.9842,8.9
Moyencourt-lès-Poix,FRA,49.7914,2.0408,11.5
Murasson,FRA,43.7609,2.7628,13.8
Murat-sur-Vèbre,FRA,43.6588,2.8709,59.1
Muzillac,FRA,47.5552,-2.4737,10.02
Méautis,FRA,49.2812,-1.2951,8.4
Méligny-le-Grand,FRA,48.6785,5.4936,8.0
Méneslies,FRA,50.0582,1.4945,11.15
Ménil-la-Horgne,FRA,48.7014,5.5318,10.5
Ménéac,FRA,48.1316,-2.4536,6.1
Ménétréols-sous-Vatan,FRA,47.0089,1.8356,24.0
Mésanger,FRA,47.4287,-1.2256,9.2
Naives-Rosières,FRA,48.8005,5.2285,11.5
Nalliers,FRA,46.4658,-1.0398,5.04
Naours,FRA,50.0446,2.2839,10.0
Nelling,FRA,48.9698,6.8646,6.9
Neuchâtel-Urtière,FRA,47.3757,6.7307,10.0
Neuvy-Bouin,FRA,46.6812,-0.4466,10.0
Neuvy-en-Dunois,FRA,48.2026,1.5358,24.0
Nibas,FRA,50.0945,1.5884,24.0
Niedervisse,FRA,49.1625,6.5647,12.0
Nixéville-Blercourt,FRA,49.1118,5.262,12.0
Nohant-en-Graçay,FRA,47.1336,1.9122,10.0
Noirlieu,FRA,48.9397,4.8048,11.9
Noyales,FRA,49.9074,3.5393,12.0
Noyers-Saint-Martin,FRA,49.5469,2.266,12.0
Nozay,FRA,48.5,4.0825,12.0
Nurlu,FRA,50.004,3.0158,8.0
Névian,FRA,43.2038,2.8857,17.85
Oinville-Saint-Liphard,FRA,48.2347,1.9242,20.8
Omey,FRA,48.8527,4.5095,4.2
Omissy,FRA,49.881,3.2984,12.0
Opoul-Périllos,FRA,42.88,2.8579,10.5
Orcevaux,FRA,47.7755,5.2703,12.0
Oresmaux,FRA,49.7662,2.2691,12.0
Ortillon,FRA,48.4931,4.2335,35.0
Orvilliers-Saint-Julien,FRA,48.4388,3.822,12.0
Ouanne,FRA,47.6577,3.4191,18.0
Oupia,FRA,43.2885,2.7752,8.1
Ouzouer-le-Marché,FRA,47.9028,1.5339,10.0
Paizay-le-Tort,FRA,46.1674,-0.1716,12.0
Pamproux,FRA,46.4117,-0.043,12.0
Pannecé,FRA,47.488,-1.2158,18.0
Patay,FRA,48.0509,1.6938,12.0
Payns,FRA,48.3756,3.9579,20.0
Pellafol,FRA,44.7824,5.8806,3.0
Penin,FRA,50.3306,2.4883,24.0
Pertain,FRA,49.8059,2.8682,12.3
Petit-Canal,FRA,16.3899,-61.4498,9.515
Peyrelevade,FRA,45.7104,2.0374,9.0
Pithiviers-le-Vieil,FRA,48.1741,2.2062,10.0
Plestan,FRA,48.4145,-2.4415,14.0
Pleugriffet,FRA,47.994,-2.6913,10.0
Pleyber-Christ,FRA,48.5106,-3.8717,8.1
Plogastel-Saint-Germain,FRA,47.9773,-4.2636,9.2
Plomodiern,FRA,48.1809,-4.217,12.0
Plouarzel,FRA,48.439,-4.7203,3.4
Ploudalmézeau,FRA,48.5372,-4.6694,9.1
Plougras,FRA,48.4965,-3.5645,6.0
Plouguin,FRA,48.529,-4.5933,23.29
Plouigneau,FRA,48.5736,-3.7035,10.0
Plouisy,FRA,48.5841,-3.1911,6.8
Ploumoguer,FRA,48.3996,-4.7157,5.7
Plounévez-Quintin,FRA,48.2853,-3.2406,2.0
Plourin,FRA,48.5026,-4.6843,3.4
Plouvien,FRA,48.5397,-4.4658,10.4
Plouyé,FRA,48.3202,-3.7343,3.0
Plozévet,FRA,47.9828,-4.4092,6.0
Plumieux,FRA,48.1059,-2.5909,8.6
Pluzunet,FRA,48.6365,-3.3706,6.0
Pléchâtel,FRA,47.8751,-1.7341,4.8
Plélan-le-Grand,FRA,47.9966,-2.0797,12.0
Pogny,FRA,48.8662,4.4952,4.2
Poinson-lès-Nogent,FRA,47.9915,5.3802,24.3
Poinville,FRA,48.1746,1.9099,35.75
Poiseul-la-Grange,FRA,47.5775,4.7937,10.0
Pont-Melvez,FRA,48.4743,-3.2847,19.5
Pont-Remy,FRA,50.0622,1.9143,12.0
Pont-de-Salars,FRA,44.2779,2.7097,12.0
Pontruet,FRA,49.9149,3.2294,12.0
Port-Saint-Louis-du-Rhône,FRA,43.4161,4.8059,21.25
Portel-des-Corbières,FRA,43.0519,2.9062,11.775
Pouillé-les-Côteaux,FRA,47.4671,-1.1741,9.693
Poussan,FRA,43.4943,3.6605,6.0
Pouzols-Minervois,FRA,43.2849,2.8122,5.1
Pradelles-Cabardès,FRA,43.4117,2.4389,10.4
Preuseville,FRA,49.8803,1.5052,13.5
Prouville,FRA,50.1561,2.1299,20.0
