model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,fold
zero_score,17920,256,0.00038509231141645915,0.012645959066920086,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
rolling_momentum_21d,8960,128,0.011046877800254198,0.07496637733514105,0.5027901785714286,0.027095874493971554,0.035409883471944056,1.3348665510161988,2.0418468732575645,2.864959288494541,0.16179404642100023,0.0987457364715712,1.6384914650728297,-0.058596426937429606,0.09375253151542867,0.08218110294400012,0.0904017857142857,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
rolling_mean_5d,8960,128,0.0004704836610267569,0.014073329716710336,0.4987723214285714,0.017965508698481757,0.02126168899068164,0.9170665373419904,1.2049439039694958,1.6906827221008855,0.1372432452374603,0.09086042301522737,1.510484330613997,-0.04305457166138321,0.1023537118666465,0.06971085472378935,0.25502232142857145,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_finance_only,8960,128,0.00040995966506135,0.012712201532394789,0.5035714285714286,-0.020855889286665704,0.0023504116889063046,-1.0237175438956825,0.14301292363993007,0.20066451080305572,-0.19482004764717367,0.08869583384348592,-2.196496038257628,-0.11686098870931926,-0.0444562146779295,-0.09895621467792949,0.42578125,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_wind_weather_only,8960,128,0.0004096071718746924,0.01271134489684647,0.5012276785714286,-0.005338601954405765,0.00021319882045699526,-0.4285921125448238,0.015636350416659856,0.02193969976450543,-0.1920336978919469,0.06477604181235376,-2.9645790715067006,-0.10577866296863288,-0.011540925913369856,-0.09754092591336985,0.671875,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_price_only,8960,128,0.0004098592217338165,0.012713646003787231,0.5013392857142858,-0.020439183486164837,-0.01651155485538598,-1.5258642344062399,-1.2949291563439398,-1.8169429661937189,-0.2505531559963653,0.06651667456051569,-3.7667721312257814,-0.1350796171029999,-0.08455080939497923,-0.12726509510926493,0.3337053571428571,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
lagged_return_reversal,8960,128,0.0005156373266354994,0.01463998510835662,0.49709821428571427,-0.005330738500049599,-0.016957543740184308,-0.2512156469348526,-0.9369739328718394,-1.3146882889292058,-0.2598108214257287,0.0944634946974832,-2.7503833333476164,-0.1585171704694491,-0.06203882993052886,-0.1319674013591003,0.5463169642857142,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
elasticnet_full,8960,128,0.00040973852338629046,0.012710808043346018,0.49051339285714285,-0.01894225454716253,-0.018489452542774884,-0.9549887999770564,-1.0481435512890442,-1.4706727729050466,-0.2332130045533649,0.09116771953894241,-2.5580655711558924,-0.14245327745417655,-0.0798859705667885,-0.1184573991382171,0.3013392857142857,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_full,8960,128,0.00041062738863263004,0.012738100283542933,0.49118303571428573,-0.02363070364060895,-0.02069725629467456,-1.3023654230269075,-1.3267196839879534,-1.8615489396644682,-0.14988717225596285,0.09074383664194274,-1.6517614617440965,-0.13048368433518934,-0.050490309717314455,-0.0761331668601716,0.2003348214285714,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
country_sector_dummy,8960,128,0.0004101098768429634,0.012725587678669091,0.48683035714285716,-0.01805635047463347,-0.022157723124135022,-1.0876216311046671,-1.289840096794854,-1.8098023972236303,-0.13738681056979749,0.0899586494050502,-1.5272218011099299,-0.13931931798886668,-0.06878377679735745,-0.06978377679735745,0.0078125,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
ridge_country_features_only,8960,128,0.0004101098768429634,0.012725587678669091,0.48683035714285716,-0.01805635047463347,-0.022157723124135022,-1.0876216311046671,-1.289840096794854,-1.8098023972236303,-0.13738681056979749,0.0899586494050502,-1.5272218011099299,-0.13931931798886668,-0.06878377679735745,-0.06978377679735745,0.0078125,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
zero_score,8960,128,0.0004096719889100509,0.012709636574358262,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,252.0,buffered,0.1,fold_2019_2022_to_2023h2
lagged_return_reversal,9100,130,0.00045591888479086615,0.014203226603419416,0.5058241758241758,0.015750294653212402,0.03748247359808941,0.8297360186067967,2.280605331597242,3.1752558842792027,-0.05954603773107263,0.08107471087563653,-0.7344588354118522,-0.10190579977756037,0.047996091646668876,-0.030718194067616833,0.6054945054945055,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
elasticnet_full,9100,130,0.0003735714251456786,0.012723497923213062,0.5184615384615384,0.025006245021937677,0.03300131786606619,1.3438730290542453,1.99547584039158,2.778273959266234,-0.026566606614449095,0.08228650643094537,-0.32285495844623957,-0.07760572448815678,0.041795004524292134,-0.013704995475707867,0.4269230769230769,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_finance_only,9100,130,0.00037353994573545316,0.012728336835168327,0.49241758241758243,0.010002606717032972,0.009818160229476902,0.6152335766310465,0.6457776542371811,0.899107472978035,-0.02279734847271827,0.07887926972217255,-0.28901571417959077,-0.061144046864457076,0.03595374880375643,-0.011760536910529265,0.367032967032967,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_wind_weather_only,9100,130,0.00037354178608224717,0.012729127540442321,0.5008791208791209,0.01583733517132177,0.005573506650543726,1.186450695048897,0.3977424233749343,0.5537713837423257,-0.09938716745886458,0.07176759197240838,-1.3848474600774507,-0.06900425349391823,0.029371699326776204,-0.05127115781608094,0.6203296703296703,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
rolling_mean_5d,9100,130,0.00043462137840401916,0.013888641483552516,0.497032967032967,-0.011752946595545249,-0.006858532277534789,-0.6105454524008754,-0.3840561706636554,-0.5347161996413639,-0.14774626495176557,0.08959344055086459,-1.649074575586659,-0.09763341627176328,-0.04114688271321239,-0.07621831128464096,0.26978021978021977,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_price_only,9100,130,0.00037374621801021665,0.012726402112177319,0.4968131868131868,-0.012505976648357661,-0.010091805424185208,-0.9482840439555692,-0.7383025623635743,-1.0279286481723262,-0.15439438383795218,0.06614635793716772,-2.3341328026648287,-0.09242494884035919,-0.04164789642434043,-0.07964789642434042,0.29230769230769227,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_full,9100,130,0.00037411005401463877,0.012751400751359925,0.4845054945054945,-0.012360203853720607,-0.015786354637039885,-0.8341135857374302,-1.2909253098327742,-1.7973378073884825,-0.13607421719553442,0.06472868985118554,-2.102224183872341,-0.11455779721642986,-0.041982731092934406,-0.07019701680722013,0.217032967032967,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
rolling_momentum_21d,9100,130,0.009380584998212106,0.06503672319261843,0.49131868131868134,-0.004550669435798405,-0.019863720362527808,-0.22666025816511334,-1.0524467302069085,-1.4653073141065764,-0.07549544895834782,0.10535630545445208,-0.7165726686475945,-0.06996831742801453,-0.025660350653115935,-0.03894606493883023,0.1021978021978022,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
country_sector_dummy,9100,130,0.0003740643565232345,0.012735354388139697,0.48318681318681317,-0.025174587155312924,-0.03538768635673438,-1.8615071414220408,-2.7022193350677215,-3.762263345353829,-0.21457689265962668,0.0640600707490288,-3.349619976229574,-0.1339246106137202,-0.10969442875298202,-0.11069442875298201,0.007692307692307693,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
ridge_country_features_only,9100,130,0.0003740643565232345,0.012735354388139697,0.48318681318681317,-0.025174587155312924,-0.03538768635673438,-1.8615071414220408,-2.7022193350677215,-3.762263345353829,-0.21457689265962668,0.0640600707490288,-3.349619976229574,-0.1339246106137202,-0.10969442875298202,-0.11069442875298201,0.007692307692307693,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
zero_score,9100,130,0.00037362278426445464,0.012724782974424304,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,10.0,252.0,buffered,0.1,fold_2019_2023_to_2024h2
